,highschool,URM,satact,GPA,essayrating,ecrating,lor,faaltu,edaccept,Did you get into your ED/REA college?,acceptance,attending,Add. Info/Context 
0,"Not a feeder, Public school",No,1450-1550,3.2-3.49,4,10,3,Yes (vibe check),synthetic university d ED2,Yes,waitlisted,my ed school,"recruited athlete track, synthetic record"
1,"Not a feeder, Public school",No,34-36 ACT,3.2-3.49,10,6,1,No,synthetic college a ED,Yes,waitlisted,gap year,"applied for need-based aid, synthetic record"
2,"Not a feeder, Public school",Yes,1350-1440,3.5-3.79,10,7,3,No,synthetic college c ED,Yes,accepted,synthetic liberal arts college,"recruited athlete track, synthetic record"
3,"Feeder, Public school",Yes,1350-1440,3.2-3.49,5,6,1,No,synthetic college b REA,No,rejected,my ed school,"first generation applicant, synthetic record"
4,"Not a feeder, Private school",No,34-36 ACT,3.5-3.79,10,1,5,Yes (vibe check),synthetic college a ED,Yes,accepted,my ed school,"recruited athlete track, synthetic record"
5,"Not a feeder, Public school",No,Test Optional,4.0 weighted,7,8,4,No,synthetic college a ED,Yes,deferred,my ed school,"applied for need-based aid, synthetic record"
6,"Feeder, Private school",No,31-33 ACT,4.0 weighted,1,4,1,No,synthetic college b REA,No,accepted,my ed school,"applied for need-based aid, synthetic record"
7,"Not a feeder, Public school",No,1450-1550,3.2-3.49,8,2,5,Yes (vibe check),synthetic college c ED,Yes,deferred,gap year,"first generation applicant, synthetic record"
8,Homeschool,Yes,31-33 ACT,4.0 weighted,1,2,5,Yes (vibe check),synthetic college c ED,No,deferred,synthetic state university,"recruited athlete track, synthetic record"
9,Homeschool,Yes,34-36 ACT,3.8+,8,5,1,No,synthetic college c ED,Yes,accepted,synthetic liberal arts college,"applied for need-based aid, synthetic record"
10,"Feeder, Public school",No,34-36 ACT,3.2-3.49,4,10,1,Yes (vibe check),synthetic college a ED,Yes,deferred,synthetic state university,"applied for need-based aid, synthetic record"
11,"Not a feeder, Private school",No,1350-1440,3.8+,1,10,2,Yes (vibe check),synthetic college b REA,Yes,deferred,my ed school,"first generation applicant, synthetic record"
